,cases,municipality,state
0,68,LK Alb-Donau-Kreis,Baden-Württemberg
1,76,LK Biberach,Baden-Württemberg
2,116,LK Böblingen,Baden-Württemberg
3,65,LK Bodenseekreis,Baden-Württemberg
4,19,LK Breisgau-Hochschwarzwald,Baden-Württemberg
5,48,LK Calw,Baden-Württemberg
6,23,LK Emmendingen,Baden-Württemberg
7,67,LK Enzkreis,Baden-Württemberg
8,149,LK Esslingen,Baden-Württemberg
9,21,LK Freudenstadt,Baden-Württemberg
10,81,LK Heidenheim,Baden-Württemberg
11,73,LK Heilbronn,Baden-Württemberg
12,31,LK Hohenlohekreis,Baden-Württemberg
13,129,LK Karlsruhe,Baden-Württemberg
14,61,LK Konstanz,Baden-Württemberg
15,12,LK Lörrach,Baden-Württemberg
16,207,LK Ludwigsburg,Baden-Württemberg
17,12,LK Main-Tauber-Kreis,Baden-Württemberg
18,22,LK Neckar-Odenwald-Kreis,Baden-Württemberg
19,79,LK Ortenaukreis,Baden-Württemberg
20,112,LK Ostalbkreis,Baden-Württemberg
21,96,LK Rastatt,Baden-Württemberg
22,76,LK Ravensburg,Baden-Württemberg
23,84,LK Reutlingen,Baden-Württemberg
24,138,LK Rhein-Neckar-Kreis,Baden-Württemberg
25,36,LK Rottweil,Baden-Württemberg
26,42,LK Schwäbisch Hall,Baden-Württemberg
27,102,LK Schwarzwald-Baar-Kreis,Baden-Württemberg
28,40,LK Sigmaringen,Baden-Württemberg
29,59,LK Tübingen,Baden-Württemberg
30,20,LK Tuttlingen,Baden-Württemberg
31,26,LK Waldshut,Baden-Württemberg
32,114,LK Zollernalbkreis,Baden-Württemberg
33,22,SK Baden-Baden,Baden-Württemberg
34,33,SK Freiburg i.Breisgau,Baden-Württemberg
35,10,SK Heidelberg,Baden-Württemberg
36,32,SK Heilbronn,Baden-Württemberg
37,66,SK Karlsruhe,Baden-Württemberg
38,73,SK Mannheim,Baden-Württemberg
39,39,SK Pforzheim,Baden-Württemberg
40,265,SK Stuttgart,Baden-Württemberg
41,41,SK Ulm,Baden-Württemberg
42,28,LK Aichach-Friedberg,Bayern
43,35,LK Altötting,Bayern
44,7,LK Amberg-Sulzbach,Bayern
45,40,LK Ansbach,Bayern
46,45,LK Aschaffenburg,Bayern
47,60,LK Augsburg,Bayern
48,19,LK Bad Kissingen,Bayern
49,27,LK Bad Tölz-Wolfratshausen,Bayern
50,42,LK Bamberg,Bayern
51,24,LK Bayreuth,Bayern
52,15,LK Berchtesgadener Land,Bayern
53,52,LK Cham,Bayern
54,29,LK Coburg,Bayern
55,26,LK Dachau,Bayern
56,37,LK Deggendorf,Bayern
57,25,LK Dillingen a.d.Donau,Bayern
58,19,LK Dingolfing-Landau,Bayern
59,27,LK Donau-Ries,Bayern
60,38,LK Ebersberg,Bayern
61,10,LK Eichstätt,Bayern
62,17,LK Erding,Bayern
63,18,LK Erlangen-Höchstadt,Bayern
64,24,LK Forchheim,Bayern
65,37,LK Freising,Bayern
66,11,LK Freyung-Grafenau,Bayern
67,30,LK Fürth,Bayern
68,25,LK Garmisch-Partenkirchen,Bayern
69,69,LK Günzburg,Bayern
70,18,LK Haßberge,Bayern
71,24,LK Hof,Bayern
72,17,LK Kelheim,Bayern
73,9,LK Kitzingen,Bayern
74,49,LK Kronach,Bayern
75,21,LK Kulmbach,Bayern
76,10,LK Landsberg a.Lech,Bayern
77,43,LK Landshut,Bayern
78,22,LK Lichtenfels,Bayern
79,18,LK Lindau,Bayern
80,21,LK Main-Spessart,Bayern
81,19,LK Miesbach,Bayern
82,53,LK Miltenberg,Bayern
83,35,LK Mühldorf a.Inn,Bayern
84,23,LK München,Bayern
85,19,LK Neuburg-Schrobenhausen,Bayern
86,6,LK Neumarkt i.d.OPf.,Bayern
87,19,LK Neustadt a.d.Aisch-Bad Windsheim,Bayern
88,4,LK Neustadt a.d.Waldnaab,Bayern
89,45,LK Neu-Ulm,Bayern
90,11,LK Nürnberger Land,Bayern
91,52,LK Oberallgäu,Bayern
92,49,LK Ostallgäu,Bayern
93,65,LK Passau,Bayern
94,32,LK Pfaffenhofen a.d.Ilm,Bayern
95,20,LK Regen,Bayern
96,29,LK Regensburg,Bayern
97,43,LK Rhön-Grabfeld,Bayern
98,46,LK Rosenheim,Bayern
99,16,LK Roth,Bayern
100,72,LK Rottal-Inn,Bayern
101,23,LK Schwandorf,Bayern
102,48,LK Schweinfurt,Bayern
103,26,LK Starnberg,Bayern
104,38,LK Straubing-Bogen,Bayern
105,9,LK Tirschenreuth,Bayern
106,48,LK Unterallgäu,Bayern
107,24,LK Weilheim-Schongau,Bayern
108,24,LK Weißenburg-Gunzenhausen,Bayern
109,9,LK Wunsiedel i.Fichtelgebirge,Bayern
110,28,LK Würzburg,Bayern
111,8,SK Amberg,Bayern
112,5,SK Ansbach,Bayern
113,14,SK Aschaffenburg,Bayern
114,102,SK Augsburg,Bayern
115,6,SK Bamberg,Bayern
116,22,SK Bayreuth,Bayern
117,23,SK Coburg,Bayern
118,25,SK Erlangen,Bayern
119,43,SK Fürth,Bayern
120,11,SK Hof,Bayern
121,34,SK Ingolstadt,Bayern
122,14,SK Kaufbeuren,Bayern
123,51,SK Kempten,Bayern
124,24,SK Landshut,Bayern
125,13,SK Memmingen,Bayern
126,226,SK München,Bayern
127,84,SK Nürnberg,Bayern
128,2,SK Passau,Bayern
129,28,SK Regensburg,Bayern
130,22,SK Rosenheim,Bayern
131,3,SK Schwabach,Bayern
132,24,SK Schweinfurt,Bayern
133,19,SK Straubing,Bayern
134,5,SK Weiden i.d.OPf.,Bayern
135,28,SK Würzburg,Bayern
136,84,SK Berlin Charlottenburg-Wilmersdorf,Berlin
137,22,SK Berlin Friedrichshain-Kreuzberg,Berlin
138,79,SK Berlin Lichtenberg,Berlin
