,cases,municipality,state
0,50,LK Alb-Donau-Kreis,Baden-Württemberg
1,71,LK Biberach,Baden-Württemberg
2,113,LK Böblingen,Baden-Württemberg
3,53,LK Bodenseekreis,Baden-Württemberg
4,12,LK Breisgau-Hochschwarzwald,Baden-Württemberg
5,40,LK Calw,Baden-Württemberg
6,26,LK Emmendingen,Baden-Württemberg
7,96,LK Enzkreis,Baden-Württemberg
8,175,LK Esslingen,Baden-Württemberg
9,51,LK Freudenstadt,Baden-Württemberg
10,77,LK Heidenheim,Baden-Württemberg
11,70,LK Heilbronn,Baden-Württemberg
12,52,LK Hohenlohekreis,Baden-Württemberg
13,80,LK Karlsruhe,Baden-Württemberg
14,23,LK Konstanz,Baden-Württemberg
15,33,LK Lörrach,Baden-Württemberg
16,190,LK Ludwigsburg,Baden-Württemberg
17,24,LK Main-Tauber-Kreis,Baden-Württemberg
18,45,LK Neckar-Odenwald-Kreis,Baden-Württemberg
19,96,LK Ortenaukreis,Baden-Württemberg
20,114,LK Ostalbkreis,Baden-Württemberg
21,46,LK Rastatt,Baden-Württemberg
22,81,LK Ravensburg,Baden-Württemberg
23,165,LK Rems-Murr-Kreis,Baden-Württemberg
24,61,LK Reutlingen,Baden-Württemberg
25,112,LK Rhein-Neckar-Kreis,Baden-Württemberg
26,27,LK Rottweil,Baden-Württemberg
27,56,LK Schwäbisch Hall,Baden-Württemberg
28,62,LK Schwarzwald-Baar-Kreis,Baden-Württemberg
29,36,LK Sigmaringen,Baden-Württemberg
30,95,LK Tübingen,Baden-Württemberg
31,51,LK Tuttlingen,Baden-Württemberg
32,44,LK Waldshut,Baden-Württemberg
33,76,LK Zollernalbkreis,Baden-Württemberg
34,6,SK Baden-Baden,Baden-Württemberg
35,33,SK Freiburg i.Breisgau,Baden-Württemberg
36,9,SK Heidelberg,Baden-Württemberg
37,56,SK Heilbronn,Baden-Württemberg
38,37,SK Karlsruhe,Baden-Württemberg
39,87,SK Mannheim,Baden-Württemberg
40,71,SK Pforzheim,Baden-Württemberg
41,137,SK Stuttgart,Baden-Württemberg
42,17,SK Ulm,Baden-Württemberg
43,40,LK Aichach-Friedberg,Bayern
44,43,LK Altötting,Bayern
45,8,LK Amberg-Sulzbach,Bayern
46,58,LK Ansbach,Bayern
47,44,LK Aschaffenburg,Bayern
48,74,LK Augsburg,Bayern
49,36,LK Bad Kissingen,Bayern
50,17,LK Bad Tölz-Wolfratshausen,Bayern
51,47,LK Bamberg,Bayern
52,10,LK Bayreuth,Bayern
53,28,LK Berchtesgadener Land,Bayern
54,24,LK Cham,Bayern
55,35,LK Coburg,Bayern
56,15,LK Dachau,Bayern
57,47,LK Deggendorf,Bayern
58,14,LK Dillingen a.d.Donau,Bayern
59,28,LK Dingolfing-Landau,Bayern
60,19,LK Donau-Ries,Bayern
61,26,LK Ebersberg,Bayern
62,16,LK Eichstätt,Bayern
63,13,LK Erding,Bayern
64,36,LK Erlangen-Höchstadt,Bayern
65,17,LK Forchheim,Bayern
66,25,LK Freising,Bayern
67,22,LK Freyung-Grafenau,Bayern
68,20,LK Fürstenfeldbruck,Bayern
69,32,LK Fürth,Bayern
70,4,LK Garmisch-Partenkirchen,Bayern
71,36,LK Günzburg,Bayern
72,4,LK Haßberge,Bayern
73,17,LK Hof,Bayern
74,23,LK Kelheim,Bayern
75,10,LK Kitzingen,Bayern
76,22,LK Kronach,Bayern
77,12,LK Kulmbach,Bayern
78,8,LK Landsberg a.Lech,Bayern
79,44,LK Landshut,Bayern
80,6,LK Lichtenfels,Bayern
81,8,LK Lindau,Bayern
82,24,LK Main-Spessart,Bayern
83,21,LK Miesbach,Bayern
84,32,LK Miltenberg,Bayern
85,44,LK Mühldorf a.Inn,Bayern
86,36,LK München,Bayern
87,15,LK Neuburg-Schrobenhausen,Bayern
88,52,LK Neumarkt i.d.OPf.,Bayern
89,10,LK Neustadt a.d.Aisch-Bad Windsheim,Bayern
90,11,LK Neustadt a.d.Waldnaab,Bayern
91,35,LK Neu-Ulm,Bayern
92,28,LK Oberallgäu,Bayern
93,26,LK Ostallgäu,Bayern
94,30,LK Passau,Bayern
95,31,LK Pfaffenhofen a.d.Ilm,Bayern
96,6,LK Regen,Bayern
97,44,LK Regensburg,Bayern
98,4,LK Rhön-Grabfeld,Bayern
99,31,LK Rosenheim,Bayern
100,13,LK Roth,Bayern
101,35,LK Rottal-Inn,Bayern
102,35,LK Schwandorf,Bayern
103,26,LK Schweinfurt,Bayern
104,9,LK Starnberg,Bayern
105,28,LK Straubing-Bogen,Bayern
106,8,LK Tirschenreuth,Bayern
107,57,LK Traunstein,Bayern
108,41,LK Unterallgäu,Bayern
109,29,LK Weilheim-Schongau,Bayern
110,17,LK Weißenburg-Gunzenhausen,Bayern
111,10,LK Wunsiedel i.Fichtelgebirge,Bayern
112,8,LK Würzburg,Bayern
113,3,SK Amberg,Bayern
114,6,SK Ansbach,Bayern
115,17,SK Aschaffenburg,Bayern
116,60,SK Augsburg,Bayern
117,6,SK Bamberg,Bayern
118,19,SK Bayreuth,Bayern
119,10,SK Coburg,Bayern
120,13,SK Erlangen,Bayern
121,40,SK Fürth,Bayern
122,15,SK Hof,Bayern
123,31,SK Ingolstadt,Bayern
124,10,SK Kaufbeuren,Bayern
125,23,SK Kempten,Bayern
126,18,SK Landshut,Bayern
127,11,SK Memmingen,Bayern
128,211,SK München,Bayern
129,183,SK Nürnberg,Bayern
130,8,SK Passau,Bayern
131,35,SK Regensburg,Bayern
132,19,SK Rosenheim,Bayern
133,5,SK Schwabach,Bayern
134,28,SK Schweinfurt,Bayern
135,11,SK Straubing,Bayern
136,2,SK Weiden i.d.OPf.,Bayern
137,14,SK Würzburg,Bayern
138,33,SK Berlin Charlottenburg-Wilmersdorf,Berlin
139,63,SK Berlin Friedrichshain-Kreuzberg,Berlin
140,3,SK Berlin Lichtenberg,Berlin
141,47,SK Berlin Marzahn-Hellersdorf,Berlin
142,1,SK Berlin Mitte,Berlin
143,130,SK Berlin Neukölln,Berlin
144,54,SK Berlin Pankow,Berlin
145,33,SK Berlin Reinickendorf,Berlin
146,41,SK Berlin Spandau,Berlin
147,27,SK Berlin Steglitz-Zehlendorf,Berlin
148,55,SK Berlin Tempelhof-Schöneberg,Berlin
149,13,SK Berlin Treptow-Köpenick,Berlin
150,12,LK Barnim,Brandenburg
151,10,LK Dahme-Spreewald,Brandenburg
152,26,LK Elbe-Elster,Brandenburg
153,50,LK Havelland,Brandenburg
154,8,LK Märkisch-Oderland,Brandenburg
155,19,LK Oberhavel,Brandenburg
156,35,LK Oberspreewald-Lausitz,Brandenburg
157,18,LK Oder-Spree,Brandenburg
158,7,LK Ostprignitz-Ruppin,Brandenburg
159,18,LK Potsdam-Mittelmark,Brandenburg
160,3,LK Prignitz,Brandenburg
161,25,LK Spree-Neiße,Brandenburg
162,25,LK Teltow-Fläming,Brandenburg
163,6,LK Uckermark,Brandenburg
164,10,SK Brandenburg a.d.Havel,Brandenburg
165,34,SK Cottbus,Brandenburg
166,11,SK Frankfurt (Oder),Brandenburg
167,21,SK Potsdam,Brandenburg
168,312,SK Hamburg,Hamburg
169,50,LK Bergstraße,Hessen
170,73,LK Darmstadt-Dieburg,Hessen
171,76,LK Fulda,Hessen
172,55,LK Gießen,Hessen
173,46,LK Groß-Gerau,Hessen
174,42,LK Hersfeld-Rotenburg,Hessen
175,41,LK Hochtaunuskreis,Hessen
176,56,LK Kassel,Hessen
177,51,LK Limburg-Weilburg,Hessen
178,79,LK Main-Kinzig-Kreis,Hessen
179,37,LK Main-Taunus-Kreis,Hessen
