,cases,municipality,state
0,48,LK Alb-Donau-Kreis,Baden-Württemberg
1,56,LK Biberach,Baden-Württemberg
2,117,LK Böblingen,Baden-Württemberg
3,79,LK Bodenseekreis,Baden-Württemberg
4,23,LK Breisgau-Hochschwarzwald,Baden-Württemberg
5,67,LK Calw,Baden-Württemberg
6,26,LK Emmendingen,Baden-Württemberg
7,91,LK Enzkreis,Baden-Württemberg
8,225,LK Esslingen,Baden-Württemberg
9,36,LK Freudenstadt,Baden-Württemberg
10,90,LK Göppingen,Baden-Württemberg
11,44,LK Heidenheim,Baden-Württemberg
12,77,LK Heilbronn,Baden-Württemberg
13,70,LK Hohenlohekreis,Baden-Württemberg
14,115,LK Karlsruhe,Baden-Württemberg
15,80,LK Konstanz,Baden-Württemberg
16,29,LK Lörrach,Baden-Württemberg
17,152,LK Ludwigsburg,Baden-Württemberg
18,18,LK Main-Tauber-Kreis,Baden-Württemberg
19,44,LK Neckar-Odenwald-Kreis,Baden-Württemberg
20,248,LK Ortenaukreis,Baden-Württemberg
21,73,LK Ostalbkreis,Baden-Württemberg
22,56,LK Rastatt,Baden-Württemberg
23,99,LK Ravensburg,Baden-Württemberg
24,93,LK Rems-Murr-Kreis,Baden-Württemberg
25,80,LK Reutlingen,Baden-Württemberg
26,127,LK Rhein-Neckar-Kreis,Baden-Württemberg
27,29,LK Rottweil,Baden-Württemberg
28,93,LK Schwäbisch Hall,Baden-Württemberg
29,122,LK Schwarzwald-Baar-Kreis,Baden-Württemberg
30,39,LK Sigmaringen,Baden-Württemberg
31,56,LK Tuttlingen,Baden-Württemberg
32,23,LK Waldshut,Baden-Württemberg
33,50,LK Zollernalbkreis,Baden-Württemberg
34,7,SK Baden-Baden,Baden-Württemberg
35,35,SK Freiburg i.Breisgau,Baden-Württemberg
36,22,SK Heidelberg,Baden-Württemberg
37,68,SK Heilbronn,Baden-Württemberg
38,57,SK Karlsruhe,Baden-Württemberg
39,75,SK Mannheim,Baden-Württemberg
40,80,SK Pforzheim,Baden-Württemberg
41,253,SK Stuttgart,Baden-Württemberg
42,41,SK Ulm,Baden-Württemberg
43,18,LK Aichach-Friedberg,Bayern
44,35,LK Altötting,Bayern
45,12,LK Amberg-Sulzbach,Bayern
46,63,LK Ansbach,Bayern
47,36,LK Aschaffenburg,Bayern
48,50,LK Augsburg,Bayern
49,20,LK Bad Kissingen,Bayern
50,38,LK Bad Tölz-Wolfratshausen,Bayern
51,23,LK Bamberg,Bayern
52,30,LK Bayreuth,Bayern
53,21,LK Berchtesgadener Land,Bayern
54,41,LK Cham,Bayern
55,40,LK Coburg,Bayern
56,25,LK Dachau,Bayern
57,35,LK Deggendorf,Bayern
58,13,LK Dillingen a.d.Donau,Bayern
59,52,LK Dingolfing-Landau,Bayern
60,28,LK Donau-Ries,Bayern
61,18,LK Ebersberg,Bayern
62,17,LK Eichstätt,Bayern
63,18,LK Erding,Bayern
64,17,LK Erlangen-Höchstadt,Bayern
65,13,LK Forchheim,Bayern
66,10,LK Freising,Bayern
67,16,LK Freyung-Grafenau,Bayern
68,40,LK Fürstenfeldbruck,Bayern
69,16,LK Fürth,Bayern
70,7,LK Garmisch-Partenkirchen,Bayern
71,28,LK Günzburg,Bayern
72,18,LK Haßberge,Bayern
73,27,LK Hof,Bayern
74,22,LK Kelheim,Bayern
75,15,LK Kitzingen,Bayern
76,11,LK Kronach,Bayern
77,12,LK Kulmbach,Bayern
78,13,LK Landsberg a.Lech,Bayern
79,43,LK Landshut,Bayern
80,27,LK Lichtenfels,Bayern
81,7,LK Lindau,Bayern
82,9,LK Main-Spessart,Bayern
83,15,LK Miesbach,Bayern
84,30,LK Miltenberg,Bayern
85,38,LK Mühldorf a.Inn,Bayern
86,56,LK München,Bayern
87,10,LK Neuburg-Schrobenhausen,Bayern
88,96,LK Neumarkt i.d.OPf.,Bayern
89,27,LK Neustadt a.d.Aisch-Bad Windsheim,Bayern
90,6,LK Neustadt a.d.Waldnaab,Bayern
91,37,LK Neu-Ulm,Bayern
92,26,LK Nürnberger Land,Bayern
93,19,LK Oberallgäu,Bayern
94,46,LK Ostallgäu,Bayern
95,40,LK Passau,Bayern
96,14,LK Pfaffenhofen a.d.Ilm,Bayern
97,5,LK Regen,Bayern
98,26,LK Regensburg,Bayern
99,16,LK Rhön-Grabfeld,Bayern
100,42,LK Rosenheim,Bayern
101,16,LK Roth,Bayern
102,38,LK Rottal-Inn,Bayern
103,26,LK Schwandorf,Bayern
104,50,LK Schweinfurt,Bayern
105,18,LK Starnberg,Bayern
106,23,LK Straubing-Bogen,Bayern
107,9,LK Tirschenreuth,Bayern
108,56,LK Traunstein,Bayern
109,42,LK Unterallgäu,Bayern
110,63,LK Weilheim-Schongau,Bayern
111,10,LK Weißenburg-Gunzenhausen,Bayern
112,11,LK Wunsiedel i.Fichtelgebirge,Bayern
113,14,LK Würzburg,Bayern
114,6,SK Amberg,Bayern
115,8,SK Ansbach,Bayern
116,43,SK Aschaffenburg,Bayern
117,75,SK Augsburg,Bayern
118,3,SK Bamberg,Bayern
119,11,SK Bayreuth,Bayern
120,14,SK Coburg,Bayern
121,13,SK Erlangen,Bayern
122,43,SK Fürth,Bayern
123,22,SK Hof,Bayern
124,48,SK Ingolstadt,Bayern
125,9,SK Kaufbeuren,Bayern
126,5,SK Kempten,Bayern
127,20,SK Landshut,Bayern
128,25,SK Memmingen,Bayern
129,277,SK München,Bayern
130,119,SK Nürnberg,Bayern
131,1,SK Passau,Bayern
132,28,SK Regensburg,Bayern
133,15,SK Rosenheim,Bayern
134,3,SK Schwabach,Bayern
135,35,SK Schweinfurt,Bayern
136,16,SK Straubing,Bayern
137,7,SK Weiden i.d.OPf.,Bayern
138,16,SK Würzburg,Bayern
139,45,SK Berlin Charlottenburg-Wilmersdorf,Berlin
140,68,SK Berlin Friedrichshain-Kreuzberg,Berlin
141,92,SK Berlin Lichtenberg,Berlin
142,82,SK Berlin Marzahn-Hellersdorf,Berlin
143,58,SK Berlin Mitte,Berlin
144,1,SK Berlin Pankow,Berlin
145,65,SK Berlin Reinickendorf,Berlin
146,66,SK Berlin Spandau,Berlin
147,44,SK Berlin Steglitz-Zehlendorf,Berlin
148,78,SK Berlin Tempelhof-Schöneberg,Berlin
