,cases,municipality,state
0,75,LK Alb-Donau-Kreis,Baden-Württemberg
1,106,LK Biberach,Baden-Württemberg
2,93,LK Böblingen,Baden-Württemberg
3,37,LK Bodenseekreis,Baden-Württemberg
4,28,LK Breisgau-Hochschwarzwald,Baden-Württemberg
5,109,LK Calw,Baden-Württemberg
6,24,LK Emmendingen,Baden-Württemberg
7,50,LK Enzkreis,Baden-Württemberg
8,221,LK Esslingen,Baden-Württemberg
9,71,LK Freudenstadt,Baden-Württemberg
10,92,LK Göppingen,Baden-Württemberg
11,70,LK Heidenheim,Baden-Württemberg
12,181,LK Heilbronn,Baden-Württemberg
13,32,LK Hohenlohekreis,Baden-Württemberg
14,151,LK Karlsruhe,Baden-Württemberg
15,82,LK Konstanz,Baden-Württemberg
16,34,LK Lörrach,Baden-Württemberg
17,210,LK Ludwigsburg,Baden-Württemberg
18,33,LK Main-Tauber-Kreis,Baden-Württemberg
19,19,LK Neckar-Odenwald-Kreis,Baden-Württemberg
20,122,LK Ortenaukreis,Baden-Württemberg
21,194,LK Ostalbkreis,Baden-Württemberg
22,82,LK Rastatt,Baden-Württemberg
23,61,LK Ravensburg,Baden-Württemberg
24,194,LK Rems-Murr-Kreis,Baden-Württemberg
25,47,LK Reutlingen,Baden-Württemberg
26,127,LK Rhein-Neckar-Kreis,Baden-Württemberg
27,40,LK Rottweil,Baden-Württemberg
28,105,LK Schwäbisch Hall,Baden-Württemberg
29,81,LK Schwarzwald-Baar-Kreis,Baden-Württemberg
30,45,LK Sigmaringen,Baden-Württemberg
31,76,LK Tübingen,Baden-Württemberg
32,69,LK Tuttlingen,Baden-Württemberg
33,23,LK Waldshut,Baden-Württemberg
34,79,LK Zollernalbkreis,Baden-Württemberg
35,15,SK Baden-Baden,Baden-Württemberg
36,38,SK Freiburg i.Breisgau,Baden-Württemberg
37,11,SK Heidelberg,Baden-Württemberg
38,95,SK Heilbronn,Baden-Württemberg
39,84,SK Karlsruhe,Baden-Württemberg
40,129,SK Mannheim,Baden-Württemberg
41,23,SK Pforzheim,Baden-Württemberg
42,260,SK Stuttgart,Baden-Württemberg
43,75,SK Ulm,Baden-Württemberg
44,54,LK Aichach-Friedberg,Bayern
45,37,LK Altötting,Bayern
46,28,LK Amberg-Sulzbach,Bayern
47,63,LK Ansbach,Bayern
48,54,LK Aschaffenburg,Bayern
49,66,LK Augsburg,Bayern
50,19,LK Bad Kissingen,Bayern
51,37,LK Bad Tölz-Wolfratshausen,Bayern
52,82,LK Bamberg,Bayern
53,23,LK Bayreuth,Bayern
54,19,LK Berchtesgadener Land,Bayern
55,53,LK Cham,Bayern
56,21,LK Coburg,Bayern
57,46,LK Dachau,Bayern
58,51,LK Deggendorf,Bayern
59,22,LK Dillingen a.d.Donau,Bayern
60,69,LK Dingolfing-Landau,Bayern
61,59,LK Donau-Ries,Bayern
62,30,LK Ebersberg,Bayern
63,50,LK Eichstätt,Bayern
64,92,LK Erding,Bayern
65,3,LK Erlangen-Höchstadt,Bayern
66,17,LK Forchheim,Bayern
67,56,LK Freising,Bayern
68,31,LK Freyung-Grafenau,Bayern
69,80,LK Fürstenfeldbruck,Bayern
70,34,LK Fürth,Bayern
71,6,LK Garmisch-Partenkirchen,Bayern
72,53,LK Günzburg,Bayern
73,124,LK Haßberge,Bayern
74,51,LK Hof,Bayern
75,51,LK Kelheim,Bayern
76,15,LK Kitzingen,Bayern
77,39,LK Kronach,Bayern
78,42,LK Kulmbach,Bayern
79,22,LK Landsberg a.Lech,Bayern
80,93,LK Landshut,Bayern
81,60,LK Lichtenfels,Bayern
82,18,LK Lindau,Bayern
83,37,LK Main-Spessart,Bayern
84,28,LK Miesbach,Bayern
85,101,LK Miltenberg,Bayern
86,72,LK Mühldorf a.Inn,Bayern
87,69,LK München,Bayern
88,35,LK Neuburg-Schrobenhausen,Bayern
89,72,LK Neumarkt i.d.OPf.,Bayern
90,38,LK Neustadt a.d.Aisch-Bad Windsheim,Bayern
91,15,LK Neustadt a.d.Waldnaab,Bayern
92,61,LK Neu-Ulm,Bayern
93,41,LK Nürnberger Land,Bayern
94,40,LK Oberallgäu,Bayern
95,52,LK Ostallgäu,Bayern
96,49,LK Passau,Bayern
97,50,LK Pfaffenhofen a.d.Ilm,Bayern
98,35,LK Regen,Bayern
99,69,LK Regensburg,Bayern
100,22,LK Rhön-Grabfeld,Bayern
101,74,LK Rosenheim,Bayern
102,30,LK Roth,Bayern
103,65,LK Rottal-Inn,Bayern
104,31,LK Schwandorf,Bayern
105,27,LK Schweinfurt,Bayern
106,23,LK Starnberg,Bayern
107,39,LK Straubing-Bogen,Bayern
108,8,LK Tirschenreuth,Bayern
109,71,LK Traunstein,Bayern
110,43,LK Unterallgäu,Bayern
111,34,LK Weilheim-Schongau,Bayern
112,13,LK Weißenburg-Gunzenhausen,Bayern
113,17,LK Wunsiedel i.Fichtelgebirge,Bayern
114,19,LK Würzburg,Bayern
115,8,SK Amberg,Bayern
116,21,SK Ansbach,Bayern
117,23,SK Aschaffenburg,Bayern
118,94,SK Augsburg,Bayern
119,48,SK Bamberg,Bayern
120,27,SK Bayreuth,Bayern
121,20,SK Coburg,Bayern
122,3,SK Erlangen,Bayern
123,58,SK Fürth,Bayern
124,28,SK Hof,Bayern
125,53,SK Ingolstadt,Bayern
126,13,SK Kaufbeuren,Bayern
127,41,SK Kempten,Bayern
128,29,SK Landshut,Bayern
129,27,SK Memmingen,Bayern
130,438,SK München,Bayern
131,230,SK Nürnberg,Bayern
132,15,SK Passau,Bayern
133,48,SK Regensburg,Bayern
134,22,SK Rosenheim,Bayern
135,13,SK Schwabach,Bayern
136,30,SK Schweinfurt,Bayern
137,20,SK Straubing,Bayern
138,8,SK Weiden i.d.OPf.,Bayern
139,37,SK Würzburg,Bayern
140,42,SK Berlin Charlottenburg-Wilmersdorf,Berlin
141,119,SK Berlin Friedrichshain-Kreuzberg,Berlin
142,72,SK Berlin Lichtenberg,Berlin
143,111,SK Berlin Marzahn-Hellersdorf,Berlin
144,139,SK Berlin Mitte,Berlin
145,157,SK Berlin Neukölln,Berlin
146,94,SK Berlin Pankow,Berlin
147,72,SK Berlin Reinickendorf,Berlin
148,80,SK Berlin Spandau,Berlin
149,93,SK Berlin Steglitz-Zehlendorf,Berlin
150,111,SK Berlin Tempelhof-Schöneberg,Berlin
151,45,SK Berlin Treptow-Köpenick,Berlin
152,18,LK Barnim,Brandenburg
153,49,LK Dahme-Spreewald,Brandenburg
154,32,LK Elbe-Elster,Brandenburg
155,25,LK Havelland,Brandenburg
156,32,LK Märkisch-Oderland,Brandenburg
157,55,LK Oberhavel,Brandenburg
158,27,LK Oberspreewald-Lausitz,Brandenburg
159,43,LK Oder-Spree,Brandenburg
160,16,LK Ostprignitz-Ruppin,Brandenburg
161,36,LK Potsdam-Mittelmark,Brandenburg
162,12,LK Prignitz,Brandenburg
163,39,LK Spree-Neiße,Brandenburg
164,33,LK Teltow-Fläming,Brandenburg
165,13,LK Uckermark,Brandenburg
166,27,SK Brandenburg a.d.Havel,Brandenburg
167,45,SK Cottbus,Brandenburg
168,6,SK Frankfurt (Oder),Brandenburg
169,50,SK Potsdam,Brandenburg
170,180,SK Bremen,Bremen
171,36,SK Bremerhaven,Bremen
172,416,SK Hamburg,Hamburg
173,144,LK Bergstraße,Hessen
174,61,LK Darmstadt-Dieburg,Hessen
175,98,LK Fulda,Hessen
176,122,LK Gießen,Hessen
177,65,LK Groß-Gerau,Hessen
178,66,LK Hersfeld-Rotenburg,Hessen
179,47,LK Hochtaunuskreis,Hessen
180,71,LK Kassel,Hessen
181,70,LK Lahn-Dill-Kreis,Hessen
182,90,LK Limburg-Weilburg,Hessen
183,170,LK Main-Kinzig-Kreis,Hessen
184,121,LK Main-Taunus-Kreis,Hessen
185,66,LK Marburg-Biedenkopf,Hessen
186,25,LK Odenwaldkreis,Hessen
187,76,LK Offenbach,Hessen
188,45,LK Rheingau-Taunus-Kreis,Hessen
189,42,LK Schwalm-Eder-Kreis,Hessen
190,21,LK Vogelsbergkreis,Hessen
191,25,LK Waldeck-Frankenberg,Hessen
192,25,LK Werra-Meißner-Kreis,Hessen
193,78,LK Wetteraukreis,Hessen
194,37,SK Darmstadt,Hessen
195,157,SK Frankfurt am Main,Hessen
196,84,SK Kassel,Hessen
197,76,SK Offenbach,Hessen
198,128,SK Wiesbaden,Hessen
199,83,LK Ludwigslust-Parchim,Mecklenburg-Vorpommern
200,90,LK Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
201,26,LK Nordwestmecklenburg,Mecklenburg-Vorpommern
202,40,LK Rostock,Mecklenburg-Vorpommern
