,cases,municipality,state
0,19,LK Alb-Donau-Kreis,Baden-Württemberg
1,83,LK Biberach,Baden-Württemberg
2,145,LK Böblingen,Baden-Württemberg
3,71,LK Bodenseekreis,Baden-Württemberg
4,35,LK Breisgau-Hochschwarzwald,Baden-Württemberg
5,71,LK Calw,Baden-Württemberg
6,23,LK Emmendingen,Baden-Württemberg
7,74,LK Enzkreis,Baden-Württemberg
8,227,LK Esslingen,Baden-Württemberg
9,59,LK Freudenstadt,Baden-Württemberg
10,135,LK Göppingen,Baden-Württemberg
11,60,LK Heidenheim,Baden-Württemberg
12,112,LK Heilbronn,Baden-Württemberg
13,51,LK Hohenlohekreis,Baden-Württemberg
14,97,LK Karlsruhe,Baden-Württemberg
15,52,LK Konstanz,Baden-Württemberg
16,40,LK Lörrach,Baden-Württemberg
17,226,LK Ludwigsburg,Baden-Württemberg
18,12,LK Main-Tauber-Kreis,Baden-Württemberg
19,50,LK Neckar-Odenwald-Kreis,Baden-Württemberg
20,110,LK Ortenaukreis,Baden-Württemberg
21,138,LK Ostalbkreis,Baden-Württemberg
22,55,LK Rastatt,Baden-Württemberg
23,92,LK Ravensburg,Baden-Württemberg
24,158,LK Rems-Murr-Kreis,Baden-Württemberg
25,148,LK Reutlingen,Baden-Württemberg
26,110,LK Rhein-Neckar-Kreis,Baden-Württemberg
27,50,LK Rottweil,Baden-Württemberg
28,102,LK Schwäbisch Hall,Baden-Württemberg
29,61,LK Schwarzwald-Baar-Kreis,Baden-Württemberg
30,30,LK Sigmaringen,Baden-Württemberg
31,94,LK Tübingen,Baden-Württemberg
32,80,LK Tuttlingen,Baden-Württemberg
33,26,LK Waldshut,Baden-Württemberg
34,71,LK Zollernalbkreis,Baden-Württemberg
35,17,SK Baden-Baden,Baden-Württemberg
36,31,SK Freiburg i.Breisgau,Baden-Württemberg
37,19,SK Heidelberg,Baden-Württemberg
38,68,SK Heilbronn,Baden-Württemberg
39,61,SK Karlsruhe,Baden-Württemberg
40,92,SK Mannheim,Baden-Württemberg
41,47,SK Pforzheim,Baden-Württemberg
42,295,SK Stuttgart,Baden-Württemberg
43,47,SK Ulm,Baden-Württemberg
44,38,LK Aichach-Friedberg,Bayern
45,27,LK Altötting,Bayern
46,10,LK Amberg-Sulzbach,Bayern
47,57,LK Ansbach,Bayern
48,36,LK Aschaffenburg,Bayern
49,89,LK Augsburg,Bayern
50,41,LK Bad Kissingen,Bayern
51,23,LK Bad Tölz-Wolfratshausen,Bayern
52,19,LK Bamberg,Bayern
53,12,LK Bayreuth,Bayern
54,27,LK Berchtesgadener Land,Bayern
55,36,LK Cham,Bayern
56,38,LK Coburg,Bayern
57,48,LK Dachau,Bayern
58,52,LK Deggendorf,Bayern
59,27,LK Dillingen a.d.Donau,Bayern
60,55,LK Dingolfing-Landau,Bayern
61,32,LK Donau-Ries,Bayern
62,34,LK Ebersberg,Bayern
63,30,LK Eichstätt,Bayern
64,47,LK Erding,Bayern
65,65,LK Erlangen-Höchstadt,Bayern
66,20,LK Forchheim,Bayern
67,14,LK Freising,Bayern
68,24,LK Freyung-Grafenau,Bayern
69,26,LK Fürstenfeldbruck,Bayern
70,24,LK Fürth,Bayern
71,25,LK Garmisch-Partenkirchen,Bayern
72,61,LK Günzburg,Bayern
73,44,LK Haßberge,Bayern
74,41,LK Hof,Bayern
75,69,LK Kelheim,Bayern
76,26,LK Kitzingen,Bayern
77,13,LK Kronach,Bayern
78,28,LK Kulmbach,Bayern
79,20,LK Landsberg a.Lech,Bayern
80,57,LK Landshut,Bayern
81,29,LK Lichtenfels,Bayern
82,15,LK Lindau,Bayern
83,20,LK Main-Spessart,Bayern
84,25,LK Miesbach,Bayern
85,16,LK Miltenberg,Bayern
86,68,LK Mühldorf a.Inn,Bayern
87,41,LK München,Bayern
88,21,LK Neuburg-Schrobenhausen,Bayern
89,32,LK Neumarkt i.d.OPf.,Bayern
90,84,LK Neustadt a.d.Aisch-Bad Windsheim,Bayern
91,13,LK Neustadt a.d.Waldnaab,Bayern
92,59,LK Neu-Ulm,Bayern
93,45,LK Nürnberger Land,Bayern
94,25,LK Oberallgäu,Bayern
95,40,LK Ostallgäu,Bayern
96,38,LK Passau,Bayern
97,25,LK Pfaffenhofen a.d.Ilm,Bayern
98,20,LK Regen,Bayern
99,41,LK Regensburg,Bayern
100,31,LK Rhön-Grabfeld,Bayern
101,44,LK Rosenheim,Bayern
102,11,LK Roth,Bayern
103,16,LK Rottal-Inn,Bayern
104,32,LK Schwandorf,Bayern
105,25,LK Schweinfurt,Bayern
106,20,LK Starnberg,Bayern
107,12,LK Straubing-Bogen,Bayern
108,8,LK Tirschenreuth,Bayern
109,52,LK Traunstein,Bayern
110,50,LK Unterallgäu,Bayern
111,18,LK Weilheim-Schongau,Bayern
112,24,LK Weißenburg-Gunzenhausen,Bayern
113,12,LK Wunsiedel i.Fichtelgebirge,Bayern
114,10,LK Würzburg,Bayern
115,16,SK Amberg,Bayern
116,6,SK Ansbach,Bayern
117,23,SK Aschaffenburg,Bayern
118,99,SK Augsburg,Bayern
119,4,SK Bamberg,Bayern
120,15,SK Bayreuth,Bayern
121,17,SK Coburg,Bayern
122,25,SK Erlangen,Bayern
123,52,SK Fürth,Bayern
124,44,SK Hof,Bayern
125,44,SK Ingolstadt,Bayern
126,4,SK Kaufbeuren,Bayern
127,9,SK Kempten,Bayern
128,14,SK Landshut,Bayern
129,13,SK Memmingen,Bayern
130,364,SK München,Bayern
131,114,SK Nürnberg,Bayern
132,2,SK Passau,Bayern
133,42,SK Regensburg,Bayern
134,16,SK Rosenheim,Bayern
135,5,SK Schwabach,Bayern
136,13,SK Schweinfurt,Bayern
137,7,SK Straubing,Bayern
138,7,SK Weiden i.d.OPf.,Bayern
139,18,SK Würzburg,Bayern
140,94,SK Berlin Charlottenburg-Wilmersdorf,Berlin
141,-1,SK Berlin Friedrichshain-Kreuzberg,Berlin
142,46,SK Berlin Lichtenberg,Berlin
143,90,SK Berlin Marzahn-Hellersdorf,Berlin
