,cases,municipality,state
0,21,LK Alb-Donau-Kreis,Baden-Württemberg
1,19,LK Biberach,Baden-Württemberg
2,11,LK Böblingen,Baden-Württemberg
3,13,LK Bodenseekreis,Baden-Württemberg
4,8,LK Breisgau-Hochschwarzwald,Baden-Württemberg
5,17,LK Calw,Baden-Württemberg
6,18,LK Emmendingen,Baden-Württemberg
7,7,LK Enzkreis,Baden-Württemberg
8,62,LK Esslingen,Baden-Württemberg
9,12,LK Freudenstadt,Baden-Württemberg
10,11,LK Heidenheim,Baden-Württemberg
11,10,LK Heilbronn,Baden-Württemberg
12,2,LK Hohenlohekreis,Baden-Württemberg
13,8,LK Karlsruhe,Baden-Württemberg
14,5,LK Konstanz,Baden-Württemberg
15,18,LK Lörrach,Baden-Württemberg
16,40,LK Ludwigsburg,Baden-Württemberg
17,11,LK Neckar-Odenwald-Kreis,Baden-Württemberg
18,24,LK Ortenaukreis,Baden-Württemberg
19,122,LK Ostalbkreis,Baden-Württemberg
20,4,LK Rastatt,Baden-Württemberg
21,8,LK Ravensburg,Baden-Württemberg
22,6,LK Reutlingen,Baden-Württemberg
23,31,LK Rhein-Neckar-Kreis,Baden-Württemberg
24,2,LK Rottweil,Baden-Württemberg
25,10,LK Schwäbisch Hall,Baden-Württemberg
26,13,LK Schwarzwald-Baar-Kreis,Baden-Württemberg
27,0,LK Sigmaringen,Baden-Württemberg
28,16,LK Tübingen,Baden-Württemberg
29,43,LK Tuttlingen,Baden-Württemberg
30,25,LK Waldshut,Baden-Württemberg
31,10,LK Zollernalbkreis,Baden-Württemberg
32,1,SK Baden-Baden,Baden-Württemberg
33,7,SK Freiburg i.Breisgau,Baden-Württemberg
34,7,SK Heidelberg,Baden-Württemberg
35,2,SK Heilbronn,Baden-Württemberg
36,6,SK Karlsruhe,Baden-Württemberg
37,32,SK Mannheim,Baden-Württemberg
38,4,SK Pforzheim,Baden-Württemberg
39,131,SK Stuttgart,Baden-Württemberg
40,10,SK Ulm,Baden-Württemberg
41,1,LK Aichach-Friedberg,Bayern
42,13,LK Altötting,Bayern
43,2,LK Amberg-Sulzbach,Bayern
44,3,LK Ansbach,Bayern
45,4,LK Aschaffenburg,Bayern
46,32,LK Augsburg,Bayern
47,4,LK Bad Kissingen,Bayern
48,11,LK Bad Tölz-Wolfratshausen,Bayern
49,-3,LK Bamberg,Bayern
50,1,LK Bayreuth,Bayern
51,3,LK Berchtesgadener Land,Bayern
52,0,LK Cham,Bayern
53,6,LK Coburg,Bayern
54,23,LK Dachau,Bayern
55,1,LK Deggendorf,Bayern
56,1,LK Dillingen a.d.Donau,Bayern
57,30,LK Dingolfing-Landau,Bayern
58,2,LK Donau-Ries,Bayern
59,9,LK Ebersberg,Bayern
60,2,LK Eichstätt,Bayern
61,8,LK Erding,Bayern
62,6,LK Erlangen-Höchstadt,Bayern
63,9,LK Forchheim,Bayern
64,-18,LK Freising,Bayern
65,13,LK Freyung-Grafenau,Bayern
66,25,LK Fürstenfeldbruck,Bayern
67,5,LK Fürth,Bayern
68,2,LK Garmisch-Partenkirchen,Bayern
69,16,LK Günzburg,Bayern
70,3,LK Haßberge,Bayern
71,6,LK Hof,Bayern
72,37,LK Kelheim,Bayern
73,-3,LK Kitzingen,Bayern
74,4,LK Kulmbach,Bayern
75,14,LK Landsberg a.Lech,Bayern
76,9,LK Landshut,Bayern
77,5,LK Lichtenfels,Bayern
78,6,LK Lindau,Bayern
79,1,LK Main-Spessart,Bayern
80,6,LK Miesbach,Bayern
81,2,LK Miltenberg,Bayern
82,3,LK Mühldorf a.Inn,Bayern
83,27,LK München,Bayern
84,1,LK Neuburg-Schrobenhausen,Bayern
85,24,LK Neumarkt i.d.OPf.,Bayern
86,20,LK Neustadt a.d.Aisch-Bad Windsheim,Bayern
87,1,LK Neustadt a.d.Waldnaab,Bayern
88,11,LK Neu-Ulm,Bayern
89,9,LK Nürnberger Land,Bayern
90,-2,LK Oberallgäu,Bayern
91,26,LK Ostallgäu,Bayern
92,1,LK Passau,Bayern
93,9,LK Pfaffenhofen a.d.Ilm,Bayern
94,4,LK Regensburg,Bayern
95,1,LK Rhön-Grabfeld,Bayern
96,21,LK Rosenheim,Bayern
97,11,LK Roth,Bayern
98,1,LK Rottal-Inn,Bayern
99,8,LK Schwandorf,Bayern
100,24,LK Schweinfurt,Bayern
101,4,LK Starnberg,Bayern
102,1,LK Straubing-Bogen,Bayern
103,-3,LK Tirschenreuth,Bayern
104,13,LK Traunstein,Bayern
105,20,LK Unterallgäu,Bayern
106,8,LK Weilheim-Schongau,Bayern
107,1,LK Weißenburg-Gunzenhausen,Bayern
108,6,LK Wunsiedel i.Fichtelgebirge,Bayern
109,1,LK Würzburg,Bayern
110,-1,SK Amberg,Bayern
111,1,SK Aschaffenburg,Bayern
112,5,SK Augsburg,Bayern
113,1,SK Bamberg,Bayern
114,5,SK Bayreuth,Bayern
115,4,SK Coburg,Bayern
116,1,SK Erlangen,Bayern
117,3,SK Fürth,Bayern
118,6,SK Hof,Bayern
119,3,SK Ingolstadt,Bayern
120,11,SK Kaufbeuren,Bayern
121,1,SK Kempten,Bayern
122,1,SK Landshut,Bayern
123,8,SK Memmingen,Bayern
124,87,SK München,Bayern
125,64,SK Nürnberg,Bayern
126,1,SK Passau,Bayern
127,1,SK Regensburg,Bayern
128,6,SK Rosenheim,Bayern
129,1,SK Schwabach,Bayern
130,11,SK Schweinfurt,Bayern
131,4,SK Straubing,Bayern
132,9,SK Würzburg,Bayern
133,80,SK Berlin Charlottenburg-Wilmersdorf,Berlin
134,42,SK Berlin Friedrichshain-Kreuzberg,Berlin
135,80,SK Berlin Lichtenberg,Berlin
136,48,SK Berlin Marzahn-Hellersdorf,Berlin
137,61,SK Berlin Mitte,Berlin
138,40,SK Berlin Neukölln,Berlin
139,85,SK Berlin Pankow,Berlin
140,8,SK Berlin Reinickendorf,Berlin
141,49,SK Berlin Spandau,Berlin
142,21,SK Berlin Steglitz-Zehlendorf,Berlin
143,7,SK Berlin Tempelhof-Schöneberg,Berlin
