,cases,municipality,state
0,12,LK Göppingen,Baden-Württemberg
1,23,LK Alb-Donau-Kreis,Baden-Württemberg
2,31,LK Heilbronn,Baden-Württemberg
3,30,LK Rastatt,Baden-Württemberg
4,72,LK Ludwigsburg,Baden-Württemberg
5,25,LK Biberach,Baden-Württemberg
6,4,LK Tuttlingen,Baden-Württemberg
7,11,LK Neckar-Odenwald-Kreis,Baden-Württemberg
8,5,LK Bodenseekreis,Baden-Württemberg
9,30,SK Pforzheim,Baden-Württemberg
10,5,LK Altötting,Bayern
11,42,LK Enzkreis,Baden-Württemberg
12,7,LK Bad Kissingen,Bayern
13,24,LK Ravensburg,Baden-Württemberg
14,11,LK Heidenheim,Baden-Württemberg
15,4,LK Bamberg,Bayern
16,11,LK Donau-Ries,Bayern
17,22,LK Schwäbisch Hall,Baden-Württemberg
18,24,LK Reutlingen,Baden-Württemberg
19,6,LK Forchheim,Bayern
20,32,LK Rottweil,Baden-Württemberg
21,18,LK Schwarzwald-Baar-Kreis,Baden-Württemberg
22,19,LK Kitzingen,Bayern
23,8,LK Breisgau-Hochschwarzwald,Baden-Württemberg
24,34,LK Böblingen,Baden-Württemberg
25,6,LK Sigmaringen,Baden-Württemberg
26,8,LK Landshut,Bayern
27,3,LK Konstanz,Baden-Württemberg
28,15,LK Calw,Baden-Württemberg
29,13,LK Miesbach,Bayern
30,37,LK Zollernalbkreis,Baden-Württemberg
31,18,SK Baden-Baden,Baden-Württemberg
32,6,LK Neumarkt i.d.OPf.,Bayern
33,72,LK Esslingen,Baden-Württemberg
34,4,SK Heidelberg,Baden-Württemberg
35,4,LK Erlangen-Höchstadt,Bayern
36,22,LK Oberallgäu,Bayern
37,13,LK Freudenstadt,Baden-Württemberg
38,8,SK Heilbronn,Baden-Württemberg
39,4,LK Regen,Bayern
40,27,LK Karlsruhe,Baden-Württemberg
41,29,SK Mannheim,Baden-Württemberg
42,4,LK Main-Tauber-Kreis,Baden-Württemberg
43,24,LK Ortenaukreis,Baden-Württemberg
44,4,LK Amberg-Sulzbach,Bayern
45,14,LK Aschaffenburg,Bayern
46,-1,LK Freising,Bayern
47,17,LK Fürstenfeldbruck,Bayern
48,61,LK Rems-Murr-Kreis,Baden-Württemberg
49,22,LK Tübingen,Baden-Württemberg
50,1,LK Lichtenfels,Bayern
51,27,LK Berchtesgadener Land,Bayern
52,3,LK Rhön-Grabfeld,Bayern
53,24,SK Ulm,Baden-Württemberg
54,22,LK Rosenheim,Bayern
55,31,LK Coburg,Bayern
56,31,LK Miltenberg,Bayern
57,5,LK Aichach-Friedberg,Bayern
58,7,LK Neustadt a.d.Waldnaab,Bayern
59,8,LK Dingolfing-Landau,Bayern
60,9,LK Passau,Bayern
61,20,LK Schweinfurt,Bayern
62,6,LK Cham,Bayern
63,10,LK Pfaffenhofen a.d.Ilm,Bayern
64,2,LK Roth,Bayern
65,14,LK Ebersberg,Bayern
66,43,SK Augsburg,Bayern
67,4,LK Kulmbach,Bayern
68,7,LK Dachau,Bayern
69,16,LK Straubing-Bogen,Bayern
70,1,LK Erding,Bayern
71,2,SK Ansbach,Bayern
72,8,LK Main-Spessart,Bayern
73,10,LK Neuburg-Schrobenhausen,Bayern
74,11,LK Schwandorf,Bayern
75,19,SK Kempten,Bayern
76,3,LK Starnberg,Bayern
77,5,SK Regensburg,Bayern
78,22,LK Traunstein,Bayern
79,23,SK Fürth,Bayern
80,1,SK Rosenheim,Bayern
81,15,SK Ingolstadt,Bayern
82,4,SK Bamberg,Bayern
83,1,SK Schwabach,Bayern
84,3,SK Straubing,Bayern
85,4,LK Mühldorf a.Inn,Bayern
86,11,SK Berlin Reinickendorf,Berlin
87,3,SK Bayreuth,Bayern
88,43,SK Berlin Tempelhof-Schöneberg,Berlin
89,9,LK Elbe-Elster,Brandenburg
90,94,SK München,Bayern
91,7,LK Havelland,Brandenburg
92,11,SK Berlin Charlottenburg-Wilmersdorf,Berlin
93,3,LK Neustadt a.d.Aisch-Bad Windsheim,Bayern
94,6,SK Berlin Spandau,Berlin
95,4,SK Potsdam,Brandenburg
96,6,LK Barnim,Brandenburg
97,17,LK Rottal-Inn,Bayern
98,44,LK Wetteraukreis,Hessen
99,8,LK Oberhavel,Brandenburg
100,25,LK Unterallgäu,Bayern
101,8,LK Märkisch-Oderland,Brandenburg
102,2,LK Potsdam-Mittelmark,Brandenburg
103,11,LK Nordwestmecklenburg,Mecklenburg-Vorpommern
104,1,LK Wunsiedel i.Fichtelgebirge,Bayern
105,31,SK Bremen,Bremen
106,14,LK Fulda,Hessen
107,12,LK Hersfeld-Rotenburg,Hessen
108,2,LK Würzburg,Bayern
109,17,LK Main-Taunus-Kreis,Hessen
110,41,LK Groß-Gerau,Hessen
111,10,LK Werra-Meißner-Kreis,Hessen
112,18,LK Lahn-Dill-Kreis,Hessen
113,5,LK Ammerland,Niedersachsen
114,46,LK Offenbach,Hessen
115,8,LK Aurich,Niedersachsen
116,14,LK Vogelsbergkreis,Hessen
117,3,SK Schwerin,Mecklenburg-Vorpommern
118,90,SK Frankfurt am Main,Hessen
119,15,LK Diepholz,Niedersachsen
120,1,SK Hof,Bayern
121,12,LK Goslar,Niedersachsen
122,8,SK Landshut,Bayern
123,6,LK Hameln-Pyrmont,Niedersachsen
124,8,SK Memmingen,Bayern
125,4,LK Harburg,Niedersachsen
126,23,SK Offenbach,Hessen
127,4,LK Heidekreis,Niedersachsen
128,19,LK Emsland,Niedersachsen
129,3,LK Helmstedt,Niedersachsen
130,6,LK Oldenburg,Niedersachsen
131,12,LK Ludwigslust-Parchim,Mecklenburg-Vorpommern
132,32,SK Berlin Friedrichshain-Kreuzberg,Berlin
133,15,LK Holzminden,Niedersachsen
134,18,LK Osnabrück,Niedersachsen
135,19,LK Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
136,10,LK Rostock,Mecklenburg-Vorpommern
137,23,LK Northeim,Niedersachsen
138,26,LK Heinsberg,Nordrhein-Westfalen
139,11,LK Peine,Niedersachsen
140,13,LK Cloppenburg,Niedersachsen
141,6,LK Wesermarsch,Niedersachsen
142,6,LK Göttingen,Niedersachsen
143,2,LK Grafschaft Bentheim,Niedersachsen
144,3,SK Salzgitter,Niedersachsen
145,9,SK Berlin Marzahn-Hellersdorf,Berlin
146,10,SK Wolfsburg,Niedersachsen
147,14,LK Hildesheim,Niedersachsen
148,32,LK Recklinghausen,Nordrhein-Westfalen
149,6,LK Dahme-Spreewald,Brandenburg
150,7,SK Oldenburg,Niedersachsen
151,9,LK Oberspreewald-Lausitz,Brandenburg
152,-2,LK Coesfeld,Nordrhein-Westfalen
153,5,LK Prignitz,Brandenburg
154,29,LK Rhein-Erft-Kreis,Nordrhein-Westfalen
155,4,SK Frankfurt (Oder),Brandenburg
156,4,SK Bremerhaven,Bremen
157,38,LK Kleve,Nordrhein-Westfalen
158,47,LK Rhein-Sieg-Kreis,Nordrhein-Westfalen
159,29,LK Kassel,Hessen
160,22,LK Oberbergischer Kreis,Nordrhein-Westfalen
161,27,LK Wesel,Nordrhein-Westfalen
162,71,LK Main-Kinzig-Kreis,Hessen
163,15,LK Düren,Nordrhein-Westfalen
164,18,SK Gelsenkirchen,Nordrhein-Westfalen
165,12,LK Paderborn,Nordrhein-Westfalen
166,8,LK Bad Dürkheim,Rheinland-Pfalz
167,9,LK Herford,Nordrhein-Westfalen
168,12,LK Soest,Nordrhein-Westfalen
169,4,LK Kusel,Rheinland-Pfalz
170,6,LK Mayen-Koblenz,Rheinland-Pfalz
171,15,LK Steinfurt,Nordrhein-Westfalen
172,19,LK Waldeck-Frankenberg,Hessen
173,16,LK Vorpommern-Greifswald,Mecklenburg-Vorpommern
174,4,LK Vorpommern-Rügen,Mecklenburg-Vorpommern
175,11,LK Höxter,Nordrhein-Westfalen
176,55,SK Bochum,Nordrhein-Westfalen
177,51,LK Mettmann,Nordrhein-Westfalen
178,5,SK Rostock,Mecklenburg-Vorpommern
179,14,LK Rheinisch-Bergischer Kreis,Nordrhein-Westfalen
180,10,LK Leer,Niedersachsen
181,68,SK Dortmund,Nordrhein-Westfalen
182,19,LK Rhein-Kreis Neuss,Nordrhein-Westfalen
183,52,SK Bielefeld,Nordrhein-Westfalen
184,51,SK Düsseldorf,Nordrhein-Westfalen
185,14,LK Lüneburg,Niedersachsen
186,3,LK Südliche Weinstraße,Rheinland-Pfalz
187,1,SK Frankenthal,Rheinland-Pfalz
188,13,SK Hamm,Nordrhein-Westfalen
189,5,SK Neustadt a.d.Weinstraße,Rheinland-Pfalz
190,3,SK Zweibrücken,Rheinland-Pfalz
191,4,LK Merzig-Wadern,Saarland
192,31,SK Essen,Nordrhein-Westfalen
193,16,SK Herne,Nordrhein-Westfalen
194,4,LK Vechta,Niedersachsen
195,20,SK Krefeld,Nordrhein-Westfalen
196,87,LK Görlitz,Sachsen
197,4,SK Münster,Nordrhein-Westfalen
198,3,LK Verden,Niedersachsen
199,34,SK Mönchengladbach,Nordrhein-Westfalen
200,9,SK Chemnitz,Sachsen
201,92,Region Hannover,Niedersachsen
202,16,SK Mülheim a.d.Ruhr,Nordrhein-Westfalen
203,5,SK Delmenhorst,Niedersachsen
204,66,Städteregion Aachen,Nordrhein-Westfalen
205,10,LK Alzey-Worms,Rheinland-Pfalz
206,12,SK Emden,Niedersachsen
207,1,LK Euskirchen,Nordrhein-Westfalen
208,3,LK Bitburg-Prüm,Rheinland-Pfalz
209,58,SK Dresden,Sachsen
210,17,SK Solingen,Nordrhein-Westfalen
211,3,LK Birkenfeld,Rheinland-Pfalz
212,4,LK Harz,Sachsen-Anhalt
213,7,LK Rhein-Pfalz-Kreis,Rheinland-Pfalz
214,70,LK Gütersloh,Nordrhein-Westfalen
215,4,LK Donnersbergkreis,Rheinland-Pfalz
216,25,LK Saalekreis,Sachsen-Anhalt
217,2,LK Vulkaneifel,Rheinland-Pfalz
218,63,LK Märkischer Kreis,Nordrhein-Westfalen
219,69,SK Köln,Nordrhein-Westfalen
220,22,SK Remscheid,Nordrhein-Westfalen
221,11,LK Mainz-Bingen,Rheinland-Pfalz
222,7,SK Pirmasens,Rheinland-Pfalz
223,5,LK Stendal,Sachsen-Anhalt
224,2,LK Plön,Schleswig-Holstein
225,11,SK Kaiserslautern,Rheinland-Pfalz
226,10,SK Trier,Rheinland-Pfalz
227,19,LK Stadtverband Saarbrücken,Saarland
