,cases,municipality,state
0,71,LK Alb-Donau-Kreis,Baden-Württemberg
1,92,LK Biberach,Baden-Württemberg
2,131,LK Böblingen,Baden-Württemberg
3,41,LK Bodenseekreis,Baden-Württemberg
4,24,LK Breisgau-Hochschwarzwald,Baden-Württemberg
5,66,LK Calw,Baden-Württemberg
6,24,LK Emmendingen,Baden-Württemberg
7,66,LK Enzkreis,Baden-Württemberg
8,151,LK Esslingen,Baden-Württemberg
9,43,LK Freudenstadt,Baden-Württemberg
10,273,LK Göppingen,Baden-Württemberg
11,43,LK Heidenheim,Baden-Württemberg
12,93,LK Heilbronn,Baden-Württemberg
13,43,LK Hohenlohekreis,Baden-Württemberg
14,129,LK Karlsruhe,Baden-Württemberg
15,53,LK Konstanz,Baden-Württemberg
16,35,LK Lörrach,Baden-Württemberg
17,230,LK Ludwigsburg,Baden-Württemberg
18,24,LK Main-Tauber-Kreis,Baden-Württemberg
19,69,LK Neckar-Odenwald-Kreis,Baden-Württemberg
20,113,LK Ortenaukreis,Baden-Württemberg
21,154,LK Ostalbkreis,Baden-Württemberg
22,52,LK Rastatt,Baden-Württemberg
23,92,LK Ravensburg,Baden-Württemberg
24,339,LK Rems-Murr-Kreis,Baden-Württemberg
25,85,LK Reutlingen,Baden-Württemberg
26,76,LK Rhein-Neckar-Kreis,Baden-Württemberg
27,29,LK Rottweil,Baden-Württemberg
28,45,LK Schwäbisch Hall,Baden-Württemberg
29,150,LK Schwarzwald-Baar-Kreis,Baden-Württemberg
30,47,LK Sigmaringen,Baden-Württemberg
31,72,LK Tübingen,Baden-Württemberg
32,68,LK Tuttlingen,Baden-Württemberg
33,84,LK Waldshut,Baden-Württemberg
34,96,LK Zollernalbkreis,Baden-Württemberg
35,20,SK Baden-Baden,Baden-Württemberg
36,39,SK Freiburg i.Breisgau,Baden-Württemberg
37,18,SK Heidelberg,Baden-Württemberg
38,63,SK Heilbronn,Baden-Württemberg
39,72,SK Karlsruhe,Baden-Württemberg
40,64,SK Mannheim,Baden-Württemberg
41,60,SK Pforzheim,Baden-Württemberg
42,329,SK Stuttgart,Baden-Württemberg
43,42,SK Ulm,Baden-Württemberg
44,39,LK Aichach-Friedberg,Bayern
45,27,LK Altötting,Bayern
46,23,LK Amberg-Sulzbach,Bayern
47,1,LK Ansbach,Bayern
48,33,LK Aschaffenburg,Bayern
49,65,LK Augsburg,Bayern
50,1,LK Bad Kissingen,Bayern
51,29,LK Bad Tölz-Wolfratshausen,Bayern
52,43,LK Bamberg,Bayern
53,9,LK Bayreuth,Bayern
54,11,LK Berchtesgadener Land,Bayern
55,7,LK Cham,Bayern
56,65,LK Coburg,Bayern
57,21,LK Dachau,Bayern
58,37,LK Deggendorf,Bayern
59,10,LK Dillingen a.d.Donau,Bayern
60,45,LK Dingolfing-Landau,Bayern
61,36,LK Donau-Ries,Bayern
62,37,LK Ebersberg,Bayern
63,28,LK Eichstätt,Bayern
64,20,LK Erding,Bayern
65,20,LK Forchheim,Bayern
66,18,LK Freising,Bayern
67,22,LK Freyung-Grafenau,Bayern
68,73,LK Fürstenfeldbruck,Bayern
69,29,LK Fürth,Bayern
70,45,LK Günzburg,Bayern
71,-2,LK Haßberge,Bayern
72,22,LK Hof,Bayern
73,36,LK Kelheim,Bayern
74,14,LK Kitzingen,Bayern
75,20,LK Kronach,Bayern
76,7,LK Kulmbach,Bayern
77,22,LK Landsberg a.Lech,Bayern
78,85,LK Landshut,Bayern
79,14,LK Lichtenfels,Bayern
80,6,LK Main-Spessart,Bayern
81,38,LK Miesbach,Bayern
82,31,LK Miltenberg,Bayern
83,35,LK Mühldorf a.Inn,Bayern
84,75,LK München,Bayern
85,15,LK Neuburg-Schrobenhausen,Bayern
86,51,LK Neumarkt i.d.OPf.,Bayern
87,33,LK Neustadt a.d.Aisch-Bad Windsheim,Bayern
88,11,LK Neustadt a.d.Waldnaab,Bayern
89,61,LK Neu-Ulm,Bayern
90,37,LK Nürnberger Land,Bayern
91,26,LK Oberallgäu,Bayern
92,39,LK Ostallgäu,Bayern
93,40,LK Passau,Bayern
94,31,LK Pfaffenhofen a.d.Ilm,Bayern
95,24,LK Regen,Bayern
96,14,LK Rhön-Grabfeld,Bayern
97,64,LK Rosenheim,Bayern
98,28,LK Roth,Bayern
99,45,LK Rottal-Inn,Bayern
100,36,LK Schwandorf,Bayern
101,69,LK Schweinfurt,Bayern
102,10,LK Starnberg,Bayern
103,24,LK Straubing-Bogen,Bayern
104,2,LK Tirschenreuth,Bayern
105,115,LK Traunstein,Bayern
106,91,LK Unterallgäu,Bayern
107,23,LK Weilheim-Schongau,Bayern
108,28,LK Weißenburg-Gunzenhausen,Bayern
109,6,LK Wunsiedel i.Fichtelgebirge,Bayern
110,19,LK Würzburg,Bayern
