,cases,municipality,state
0,55,LK Alb-Donau-Kreis,Baden-Württemberg
1,44,LK Biberach,Baden-Württemberg
2,69,LK Böblingen,Baden-Württemberg
3,60,LK Bodenseekreis,Baden-Württemberg
4,28,LK Breisgau-Hochschwarzwald,Baden-Württemberg
5,50,LK Calw,Baden-Württemberg
6,13,LK Emmendingen,Baden-Württemberg
7,85,LK Enzkreis,Baden-Württemberg
8,96,LK Esslingen,Baden-Württemberg
9,21,LK Freudenstadt,Baden-Württemberg
10,56,LK Göppingen,Baden-Württemberg
11,58,LK Heidenheim,Baden-Württemberg
12,102,LK Heilbronn,Baden-Württemberg
13,30,LK Hohenlohekreis,Baden-Württemberg
14,79,LK Karlsruhe,Baden-Württemberg
15,68,LK Konstanz,Baden-Württemberg
16,28,LK Lörrach,Baden-Württemberg
17,160,LK Ludwigsburg,Baden-Württemberg
18,11,LK Main-Tauber-Kreis,Baden-Württemberg
19,38,LK Neckar-Odenwald-Kreis,Baden-Württemberg
20,61,LK Ortenaukreis,Baden-Württemberg
21,89,LK Ostalbkreis,Baden-Württemberg
22,41,LK Rastatt,Baden-Württemberg
23,88,LK Ravensburg,Baden-Württemberg
24,79,LK Rems-Murr-Kreis,Baden-Württemberg
25,71,LK Reutlingen,Baden-Württemberg
26,87,LK Rhein-Neckar-Kreis,Baden-Württemberg
27,40,LK Rottweil,Baden-Württemberg
28,46,LK Schwäbisch Hall,Baden-Württemberg
29,67,LK Schwarzwald-Baar-Kreis,Baden-Württemberg
30,35,LK Sigmaringen,Baden-Württemberg
31,32,LK Tübingen,Baden-Württemberg
32,32,LK Tuttlingen,Baden-Württemberg
33,24,LK Waldshut,Baden-Württemberg
34,71,LK Zollernalbkreis,Baden-Württemberg
35,8,SK Baden-Baden,Baden-Württemberg
36,22,SK Freiburg i.Breisgau,Baden-Württemberg
37,16,SK Heidelberg,Baden-Württemberg
38,37,SK Heilbronn,Baden-Württemberg
39,64,SK Karlsruhe,Baden-Württemberg
40,78,SK Mannheim,Baden-Württemberg
41,67,SK Pforzheim,Baden-Württemberg
42,221,SK Stuttgart,Baden-Württemberg
43,30,SK Ulm,Baden-Württemberg
44,15,LK Aichach-Friedberg,Bayern
45,27,LK Altötting,Bayern
46,8,LK Amberg-Sulzbach,Bayern
47,50,LK Ansbach,Bayern
48,24,LK Aschaffenburg,Bayern
49,41,LK Augsburg,Bayern
50,27,LK Bad Kissingen,Bayern
51,5,LK Bad Tölz-Wolfratshausen,Bayern
52,14,LK Bamberg,Bayern
53,8,LK Bayreuth,Bayern
54,11,LK Berchtesgadener Land,Bayern
55,54,LK Cham,Bayern
56,39,LK Coburg,Bayern
57,25,LK Dachau,Bayern
58,28,LK Deggendorf,Bayern
59,29,LK Dillingen a.d.Donau,Bayern
60,28,LK Dingolfing-Landau,Bayern
61,18,LK Donau-Ries,Bayern
62,51,LK Ebersberg,Bayern
63,35,LK Eichstätt,Bayern
64,18,LK Erding,Bayern
65,32,LK Erlangen-Höchstadt,Bayern
66,24,LK Forchheim,Bayern
67,14,LK Freising,Bayern
68,25,LK Freyung-Grafenau,Bayern
69,44,LK Fürstenfeldbruck,Bayern
70,15,LK Fürth,Bayern
71,17,LK Garmisch-Partenkirchen,Bayern
72,35,LK Günzburg,Bayern
73,27,LK Haßberge,Bayern
74,11,LK Hof,Bayern
75,25,LK Kelheim,Bayern
76,33,LK Kitzingen,Bayern
77,17,LK Kronach,Bayern
78,6,LK Kulmbach,Bayern
79,15,LK Landsberg a.Lech,Bayern
80,36,LK Landshut,Bayern
81,13,LK Lichtenfels,Bayern
82,8,LK Lindau,Bayern
83,23,LK Main-Spessart,Bayern
84,22,LK Miesbach,Bayern
85,28,LK Miltenberg,Bayern
86,22,LK Mühldorf a.Inn,Bayern
87,29,LK München,Bayern
88,25,LK Neuburg-Schrobenhausen,Bayern
89,35,LK Neumarkt i.d.OPf.,Bayern
90,21,LK Neustadt a.d.Aisch-Bad Windsheim,Bayern
91,5,LK Neustadt a.d.Waldnaab,Bayern
92,62,LK Neu-Ulm,Bayern
93,30,LK Nürnberger Land,Bayern
94,34,LK Oberallgäu,Bayern
95,32,LK Ostallgäu,Bayern
96,33,LK Passau,Bayern
97,12,LK Pfaffenhofen a.d.Ilm,Bayern
98,11,LK Regen,Bayern
99,25,LK Regensburg,Bayern
100,11,LK Rhön-Grabfeld,Bayern
101,38,LK Rosenheim,Bayern
102,21,LK Roth,Bayern
103,54,LK Rottal-Inn,Bayern
104,23,LK Schwandorf,Bayern
105,45,LK Schweinfurt,Bayern
106,5,LK Starnberg,Bayern
107,24,LK Straubing-Bogen,Bayern
108,2,LK Tirschenreuth,Bayern
109,35,LK Traunstein,Bayern
110,46,LK Unterallgäu,Bayern
111,28,LK Weilheim-Schongau,Bayern
112,9,LK Weißenburg-Gunzenhausen,Bayern
113,9,LK Wunsiedel i.Fichtelgebirge,Bayern
114,15,LK Würzburg,Bayern
115,2,SK Amberg,Bayern
116,6,SK Ansbach,Bayern
117,12,SK Aschaffenburg,Bayern
118,85,SK Augsburg,Bayern
119,6,SK Bamberg,Bayern
120,10,SK Bayreuth,Bayern
121,11,SK Coburg,Bayern
122,37,SK Erlangen,Bayern
123,36,SK Fürth,Bayern
124,13,SK Hof,Bayern
125,7,SK Ingolstadt,Bayern
126,13,SK Kaufbeuren,Bayern
127,7,SK Kempten,Bayern
128,22,SK Landshut,Bayern
129,47,SK Memmingen,Bayern
130,240,SK München,Bayern
131,68,SK Nürnberg,Bayern
132,3,SK Passau,Bayern
133,17,SK Regensburg,Bayern
134,9,SK Rosenheim,Bayern
135,1,SK Schwabach,Bayern
136,20,SK Schweinfurt,Bayern
137,10,SK Straubing,Bayern
138,5,SK Weiden i.d.OPf.,Bayern
139,26,SK Würzburg,Bayern
140,48,SK Berlin Charlottenburg-Wilmersdorf,Berlin
141,52,SK Berlin Friedrichshain-Kreuzberg,Berlin
142,57,SK Berlin Lichtenberg,Berlin
143,35,SK Berlin Marzahn-Hellersdorf,Berlin
144,61,SK Berlin Mitte,Berlin
145,73,SK Berlin Neukölln,Berlin
146,35,SK Berlin Pankow,Berlin
147,105,SK Berlin Reinickendorf,Berlin
148,23,SK Berlin Steglitz-Zehlendorf,Berlin
149,54,SK Berlin Tempelhof-Schöneberg,Berlin
150,49,SK Berlin Treptow-Köpenick,Berlin
151,30,LK Barnim,Brandenburg
152,16,LK Dahme-Spreewald,Brandenburg
153,18,LK Elbe-Elster,Brandenburg
154,20,LK Havelland,Brandenburg
155,30,LK Märkisch-Oderland,Brandenburg
156,20,LK Oberhavel,Brandenburg
157,13,LK Oberspreewald-Lausitz,Brandenburg
158,16,LK Oder-Spree,Brandenburg
159,7,LK Ostprignitz-Ruppin,Brandenburg
160,11,LK Potsdam-Mittelmark,Brandenburg
161,5,LK Prignitz,Brandenburg
162,11,LK Spree-Neiße,Brandenburg
163,45,LK Teltow-Fläming,Brandenburg
164,21,LK Uckermark,Brandenburg
165,8,SK Brandenburg a.d.Havel,Brandenburg
166,33,SK Cottbus,Brandenburg
167,7,SK Frankfurt (Oder),Brandenburg
168,22,SK Potsdam,Brandenburg
169,67,SK Bremen,Bremen
170,15,SK Bremerhaven,Bremen
171,292,SK Hamburg,Hamburg
172,38,LK Bergstraße,Hessen
173,37,LK Darmstadt-Dieburg,Hessen
174,64,LK Fulda,Hessen
175,54,LK Gießen,Hessen
176,48,LK Groß-Gerau,Hessen
