,cases,municipality,state
0,50,LK Alb-Donau-Kreis,Baden-Württemberg
1,59,LK Biberach,Baden-Württemberg
2,124,LK Böblingen,Baden-Württemberg
3,44,LK Bodenseekreis,Baden-Württemberg
4,12,LK Breisgau-Hochschwarzwald,Baden-Württemberg
5,37,LK Calw,Baden-Württemberg
6,14,LK Emmendingen,Baden-Württemberg
7,58,LK Enzkreis,Baden-Württemberg
8,182,LK Esslingen,Baden-Württemberg
9,19,LK Freudenstadt,Baden-Württemberg
10,57,LK Göppingen,Baden-Württemberg
11,38,LK Heidenheim,Baden-Württemberg
12,104,LK Heilbronn,Baden-Württemberg
13,22,LK Hohenlohekreis,Baden-Württemberg
14,109,LK Karlsruhe,Baden-Württemberg
15,48,LK Konstanz,Baden-Württemberg
16,60,LK Lörrach,Baden-Württemberg
17,176,LK Ludwigsburg,Baden-Württemberg
18,15,LK Main-Tauber-Kreis,Baden-Württemberg
19,55,LK Neckar-Odenwald-Kreis,Baden-Württemberg
20,69,LK Ortenaukreis,Baden-Württemberg
21,96,LK Ostalbkreis,Baden-Württemberg
22,55,LK Rastatt,Baden-Württemberg
23,89,LK Ravensburg,Baden-Württemberg
24,163,LK Rems-Murr-Kreis,Baden-Württemberg
25,79,LK Reutlingen,Baden-Württemberg
26,98,LK Rhein-Neckar-Kreis,Baden-Württemberg
27,33,LK Rottweil,Baden-Württemberg
28,61,LK Schwäbisch Hall,Baden-Württemberg
29,54,LK Schwarzwald-Baar-Kreis,Baden-Württemberg
30,38,LK Sigmaringen,Baden-Württemberg
31,23,LK Tübingen,Baden-Württemberg
32,43,LK Tuttlingen,Baden-Württemberg
33,62,LK Waldshut,Baden-Württemberg
34,117,LK Zollernalbkreis,Baden-Württemberg
35,17,SK Baden-Baden,Baden-Württemberg
36,24,SK Freiburg i.Breisgau,Baden-Württemberg
37,35,SK Heidelberg,Baden-Württemberg
38,38,SK Heilbronn,Baden-Württemberg
39,64,SK Karlsruhe,Baden-Württemberg
40,33,SK Mannheim,Baden-Württemberg
41,68,SK Pforzheim,Baden-Württemberg
42,143,SK Stuttgart,Baden-Württemberg
43,55,SK Ulm,Baden-Württemberg
