,cases,municipality,state
0,32,LK Alb-Donau-Kreis,Baden-Württemberg
1,55,LK Biberach,Baden-Württemberg
2,74,LK Böblingen,Baden-Württemberg
3,24,LK Bodenseekreis,Baden-Württemberg
4,5,LK Breisgau-Hochschwarzwald,Baden-Württemberg
5,10,LK Calw,Baden-Württemberg
6,6,LK Emmendingen,Baden-Württemberg
7,49,LK Enzkreis,Baden-Württemberg
8,77,LK Esslingen,Baden-Württemberg
9,14,LK Freudenstadt,Baden-Württemberg
10,29,LK Göppingen,Baden-Württemberg
11,62,LK Heidenheim,Baden-Württemberg
12,45,LK Heilbronn,Baden-Württemberg
13,20,LK Hohenlohekreis,Baden-Württemberg
14,40,LK Karlsruhe,Baden-Württemberg
15,12,LK Konstanz,Baden-Württemberg
16,15,LK Lörrach,Baden-Württemberg
17,61,LK Ludwigsburg,Baden-Württemberg
18,4,LK Main-Tauber-Kreis,Baden-Württemberg
19,21,LK Neckar-Odenwald-Kreis,Baden-Württemberg
20,23,LK Ortenaukreis,Baden-Württemberg
21,37,LK Ostalbkreis,Baden-Württemberg
22,26,LK Rastatt,Baden-Württemberg
23,43,LK Ravensburg,Baden-Württemberg
24,88,LK Rems-Murr-Kreis,Baden-Württemberg
25,17,LK Reutlingen,Baden-Württemberg
26,56,LK Rhein-Neckar-Kreis,Baden-Württemberg
27,23,LK Rottweil,Baden-Württemberg
28,16,LK Schwäbisch Hall,Baden-Württemberg
29,27,LK Schwarzwald-Baar-Kreis,Baden-Württemberg
30,10,LK Sigmaringen,Baden-Württemberg
31,14,LK Tübingen,Baden-Württemberg
32,24,LK Tuttlingen,Baden-Württemberg
33,21,LK Waldshut,Baden-Württemberg
34,70,LK Zollernalbkreis,Baden-Württemberg
35,9,SK Baden-Baden,Baden-Württemberg
36,13,SK Freiburg i.Breisgau,Baden-Württemberg
37,5,SK Heidelberg,Baden-Württemberg
38,17,SK Heilbronn,Baden-Württemberg
39,24,SK Karlsruhe,Baden-Württemberg
40,37,SK Mannheim,Baden-Württemberg
41,48,SK Pforzheim,Baden-Württemberg
42,65,SK Stuttgart,Baden-Württemberg
43,24,SK Ulm,Baden-Württemberg
44,6,LK Aichach-Friedberg,Bayern
45,16,LK Altötting,Bayern
46,10,LK Amberg-Sulzbach,Bayern
47,15,LK Ansbach,Bayern
48,17,LK Aschaffenburg,Bayern
49,20,LK Augsburg,Bayern
50,10,LK Bad Kissingen,Bayern
51,15,LK Bad Tölz-Wolfratshausen,Bayern
52,17,LK Bamberg,Bayern
53,7,LK Bayreuth,Bayern
54,5,LK Berchtesgadener Land,Bayern
55,26,LK Cham,Bayern
56,24,LK Coburg,Bayern
57,4,LK Dachau,Bayern
58,34,LK Deggendorf,Bayern
59,20,LK Dillingen a.d.Donau,Bayern
60,5,LK Dingolfing-Landau,Bayern
61,7,LK Donau-Ries,Bayern
62,12,LK Ebersberg,Bayern
63,14,LK Eichstätt,Bayern
64,9,LK Erding,Bayern
65,2,LK Forchheim,Bayern
66,9,LK Freising,Bayern
67,20,LK Freyung-Grafenau,Bayern
68,22,LK Fürstenfeldbruck,Bayern
69,16,LK Fürth,Bayern
70,6,LK Garmisch-Partenkirchen,Bayern
71,31,LK Günzburg,Bayern
72,6,LK Haßberge,Bayern
73,5,LK Hof,Bayern
74,8,LK Kelheim,Bayern
75,15,LK Kitzingen,Bayern
76,9,LK Kronach,Bayern
77,12,LK Kulmbach,Bayern
78,1,LK Landsberg a.Lech,Bayern
79,27,LK Landshut,Bayern
80,3,LK Lichtenfels,Bayern
81,8,LK Lindau,Bayern
82,13,LK Main-Spessart,Bayern
83,7,LK Miesbach,Bayern
84,24,LK Miltenberg,Bayern
85,7,LK Mühldorf a.Inn,Bayern
