,cases,municipality,state
0,21,LK Alb-Donau-Kreis,Baden-Württemberg
1,13,LK Biberach,Baden-Württemberg
2,4,LK Böblingen,Baden-Württemberg
3,-1,LK Bodenseekreis,Baden-Württemberg
4,7,LK Breisgau-Hochschwarzwald,Baden-Württemberg
5,8,LK Calw,Baden-Württemberg
6,6,LK Emmendingen,Baden-Württemberg
7,16,LK Enzkreis,Baden-Württemberg
8,84,LK Esslingen,Baden-Württemberg
9,35,LK Freudenstadt,Baden-Württemberg
10,55,LK Göppingen,Baden-Württemberg
11,22,LK Heidenheim,Baden-Württemberg
12,48,LK Heilbronn,Baden-Württemberg
13,12,LK Hohenlohekreis,Baden-Württemberg
14,33,LK Karlsruhe,Baden-Württemberg
15,4,LK Konstanz,Baden-Württemberg
16,25,LK Lörrach,Baden-Württemberg
17,23,LK Ludwigsburg,Baden-Württemberg
18,1,LK Main-Tauber-Kreis,Baden-Württemberg
19,10,LK Neckar-Odenwald-Kreis,Baden-Württemberg
20,33,LK Ortenaukreis,Baden-Württemberg
21,11,LK Ostalbkreis,Baden-Württemberg
22,6,LK Rastatt,Baden-Württemberg
23,11,LK Ravensburg,Baden-Württemberg
24,28,LK Rems-Murr-Kreis,Baden-Württemberg
25,41,LK Reutlingen,Baden-Württemberg
26,37,LK Rhein-Neckar-Kreis,Baden-Württemberg
27,25,LK Rottweil,Baden-Württemberg
28,30,LK Schwäbisch Hall,Baden-Württemberg
29,32,LK Schwarzwald-Baar-Kreis,Baden-Württemberg
30,9,LK Sigmaringen,Baden-Württemberg
31,33,LK Tübingen,Baden-Württemberg
32,8,LK Tuttlingen,Baden-Württemberg
33,31,LK Waldshut,Baden-Württemberg
34,43,LK Zollernalbkreis,Baden-Württemberg
35,14,SK Freiburg i.Breisgau,Baden-Württemberg
36,12,SK Heidelberg,Baden-Württemberg
37,36,SK Heilbronn,Baden-Württemberg
38,19,SK Karlsruhe,Baden-Württemberg
39,-6,SK Mannheim,Baden-Württemberg
40,26,SK Pforzheim,Baden-Württemberg
41,61,SK Stuttgart,Baden-Württemberg
42,14,SK Ulm,Baden-Württemberg
43,2,LK Aichach-Friedberg,Bayern
44,7,LK Altötting,Bayern
45,5,LK Amberg-Sulzbach,Bayern
46,42,LK Ansbach,Bayern
47,9,LK Aschaffenburg,Bayern
48,35,LK Augsburg,Bayern
49,7,LK Bad Kissingen,Bayern
50,12,LK Bad Tölz-Wolfratshausen,Bayern
51,17,LK Bamberg,Bayern
52,5,LK Berchtesgadener Land,Bayern
53,12,LK Cham,Bayern
54,21,LK Coburg,Bayern
55,3,LK Dachau,Bayern
56,8,LK Deggendorf,Bayern
57,9,LK Dillingen a.d.Donau,Bayern
58,52,LK Dingolfing-Landau,Bayern
59,17,LK Donau-Ries,Bayern
60,3,LK Ebersberg,Bayern
61,2,LK Eichstätt,Bayern
62,15,LK Erding,Bayern
63,3,LK Erlangen-Höchstadt,Bayern
64,7,LK Forchheim,Bayern
65,12,LK Freising,Bayern
66,12,LK Freyung-Grafenau,Bayern
