,cases,municipality,state
0,32,LK Alb-Donau-Kreis,Baden-Württemberg
1,56,LK Biberach,Baden-Württemberg
2,58,LK Böblingen,Baden-Württemberg
3,47,LK Bodenseekreis,Baden-Württemberg
4,33,LK Breisgau-Hochschwarzwald,Baden-Württemberg
5,27,LK Calw,Baden-Württemberg
6,19,LK Emmendingen,Baden-Württemberg
7,24,LK Enzkreis,Baden-Württemberg
8,104,LK Esslingen,Baden-Württemberg
9,64,LK Göppingen,Baden-Württemberg
10,55,LK Heidenheim,Baden-Württemberg
11,67,LK Heilbronn,Baden-Württemberg
12,25,LK Hohenlohekreis,Baden-Württemberg
13,95,LK Karlsruhe,Baden-Württemberg
14,15,LK Konstanz,Baden-Württemberg
15,34,LK Lörrach,Baden-Württemberg
16,124,LK Ludwigsburg,Baden-Württemberg
17,8,LK Main-Tauber-Kreis,Baden-Württemberg
18,46,LK Neckar-Odenwald-Kreis,Baden-Württemberg
19,72,LK Ortenaukreis,Baden-Württemberg
20,65,LK Ostalbkreis,Baden-Württemberg
21,41,LK Rastatt,Baden-Württemberg
22,79,LK Ravensburg,Baden-Württemberg
23,103,LK Rems-Murr-Kreis,Baden-Württemberg
24,62,LK Reutlingen,Baden-Württemberg
25,87,LK Rhein-Neckar-Kreis,Baden-Württemberg
26,42,LK Rottweil,Baden-Württemberg
27,35,LK Schwäbisch Hall,Baden-Württemberg
28,41,LK Schwarzwald-Baar-Kreis,Baden-Württemberg
29,22,LK Sigmaringen,Baden-Württemberg
30,58,LK Tübingen,Baden-Württemberg
31,29,LK Tuttlingen,Baden-Württemberg
32,26,LK Waldshut,Baden-Württemberg
33,71,LK Zollernalbkreis,Baden-Württemberg
34,8,SK Baden-Baden,Baden-Württemberg
35,44,SK Freiburg i.Breisgau,Baden-Württemberg
36,13,SK Heidelberg,Baden-Württemberg
37,55,SK Heilbronn,Baden-Württemberg
38,51,SK Karlsruhe,Baden-Württemberg
39,29,SK Mannheim,Baden-Württemberg
40,16,SK Pforzheim,Baden-Württemberg
41,104,SK Stuttgart,Baden-Württemberg
42,21,SK Ulm,Baden-Württemberg
43,19,LK Aichach-Friedberg,Bayern
44,25,LK Altötting,Bayern
45,14,LK Amberg-Sulzbach,Bayern
46,26,LK Aschaffenburg,Bayern
47,45,LK Augsburg,Bayern
48,23,LK Bad Kissingen,Bayern
49,21,LK Bad Tölz-Wolfratshausen,Bayern
50,38,LK Bamberg,Bayern
51,12,LK Bayreuth,Bayern
52,8,LK Berchtesgadener Land,Bayern
53,19,LK Cham,Bayern
54,27,LK Coburg,Bayern
55,16,LK Dachau,Bayern
56,35,LK Deggendorf,Bayern
57,26,LK Dillingen a.d.Donau,Bayern
58,18,LK Donau-Ries,Bayern
59,24,LK Ebersberg,Bayern
60,9,LK Eichstätt,Bayern
61,9,LK Erding,Bayern
62,11,LK Erlangen-Höchstadt,Bayern
63,5,LK Forchheim,Bayern
64,16,LK Freising,Bayern
65,10,LK Freyung-Grafenau,Bayern
66,34,LK Fürstenfeldbruck,Bayern
67,8,LK Fürth,Bayern
68,14,LK Garmisch-Partenkirchen,Bayern
69,30,LK Günzburg,Bayern
70,6,LK Haßberge,Bayern
71,4,LK Hof,Bayern
72,21,LK Kelheim,Bayern
73,5,LK Kitzingen,Bayern
74,19,LK Kronach,Bayern
75,12,LK Kulmbach,Bayern
76,9,LK Landsberg a.Lech,Bayern
77,41,LK Landshut,Bayern
78,8,LK Lichtenfels,Bayern
79,11,LK Lindau,Bayern
80,8,LK Main-Spessart,Bayern
81,15,LK Miesbach,Bayern
82,19,LK Miltenberg,Bayern
83,18,LK Mühldorf a.Inn,Bayern
84,24,LK München,Bayern
85,9,LK Neuburg-Schrobenhausen,Bayern
86,32,LK Neumarkt i.d.OPf.,Bayern
87,11,LK Neustadt a.d.Aisch-Bad Windsheim,Bayern
88,5,LK Neustadt a.d.Waldnaab,Bayern
89,52,LK Neu-Ulm,Bayern
90,38,LK Oberallgäu,Bayern
91,21,LK Ostallgäu,Bayern
92,31,LK Passau,Bayern
93,17,LK Pfaffenhofen a.d.Ilm,Bayern
94,10,LK Regen,Bayern
95,37,LK Regensburg,Bayern
96,33,LK Rhön-Grabfeld,Bayern
97,29,LK Rosenheim,Bayern
98,23,LK Roth,Bayern
99,27,LK Rottal-Inn,Bayern
100,39,LK Schwandorf,Bayern
101,24,LK Schweinfurt,Bayern
102,13,LK Starnberg,Bayern
103,23,LK Straubing-Bogen,Bayern
104,3,LK Tirschenreuth,Bayern
105,21,LK Traunstein,Bayern
106,52,LK Unterallgäu,Bayern
107,25,LK Weilheim-Schongau,Bayern
108,14,LK Weißenburg-Gunzenhausen,Bayern
109,2,LK Wunsiedel i.Fichtelgebirge,Bayern
110,8,LK Würzburg,Bayern
111,2,SK Amberg,Bayern
112,9,SK Aschaffenburg,Bayern
113,76,SK Augsburg,Bayern
114,19,SK Bamberg,Bayern
115,5,SK Bayreuth,Bayern
116,13,SK Coburg,Bayern
117,4,SK Erlangen,Bayern
118,38,SK Fürth,Bayern
119,9,SK Hof,Bayern
120,31,SK Ingolstadt,Bayern
121,11,SK Kaufbeuren,Bayern
122,20,SK Kempten,Bayern
123,14,SK Landshut,Bayern
