,cases,municipality,state
0,36,LK Alb-Donau-Kreis,Baden-Württemberg
1,34,LK Biberach,Baden-Württemberg
2,58,LK Böblingen,Baden-Württemberg
3,26,LK Bodenseekreis,Baden-Württemberg
4,24,LK Breisgau-Hochschwarzwald,Baden-Württemberg
5,52,LK Calw,Baden-Württemberg
6,10,LK Emmendingen,Baden-Württemberg
7,45,LK Enzkreis,Baden-Württemberg
8,85,LK Esslingen,Baden-Württemberg
9,27,LK Freudenstadt,Baden-Württemberg
10,53,LK Göppingen,Baden-Württemberg
11,40,LK Heidenheim,Baden-Württemberg
12,110,LK Heilbronn,Baden-Württemberg
13,32,LK Hohenlohekreis,Baden-Württemberg
14,71,LK Karlsruhe,Baden-Württemberg
15,33,LK Konstanz,Baden-Württemberg
16,41,LK Lörrach,Baden-Württemberg
17,115,LK Ludwigsburg,Baden-Württemberg
18,30,LK Main-Tauber-Kreis,Baden-Württemberg
19,20,LK Neckar-Odenwald-Kreis,Baden-Württemberg
20,73,LK Ortenaukreis,Baden-Württemberg
21,90,LK Ostalbkreis,Baden-Württemberg
22,41,LK Rastatt,Baden-Württemberg
23,32,LK Ravensburg,Baden-Württemberg
24,71,LK Rems-Murr-Kreis,Baden-Württemberg
25,45,LK Reutlingen,Baden-Württemberg
26,74,LK Rhein-Neckar-Kreis,Baden-Württemberg
27,60,LK Rottweil,Baden-Württemberg
28,48,LK Schwäbisch Hall,Baden-Württemberg
29,61,LK Schwarzwald-Baar-Kreis,Baden-Württemberg
30,16,LK Sigmaringen,Baden-Württemberg
31,73,LK Tübingen,Baden-Württemberg
32,48,LK Tuttlingen,Baden-Württemberg
33,41,LK Waldshut,Baden-Württemberg
34,72,LK Zollernalbkreis,Baden-Württemberg
35,9,SK Baden-Baden,Baden-Württemberg
36,26,SK Freiburg i.Breisgau,Baden-Württemberg
37,13,SK Heidelberg,Baden-Württemberg
38,40,SK Heilbronn,Baden-Württemberg
39,41,SK Karlsruhe,Baden-Württemberg
40,35,SK Mannheim,Baden-Württemberg
41,40,SK Pforzheim,Baden-Württemberg
42,96,SK Stuttgart,Baden-Württemberg
43,16,SK Ulm,Baden-Württemberg
44,23,LK Aichach-Friedberg,Bayern
45,16,LK Altötting,Bayern
46,13,LK Amberg-Sulzbach,Bayern
47,28,LK Ansbach,Bayern
48,24,LK Augsburg,Bayern
49,10,LK Bad Kissingen,Bayern
50,15,LK Bad Tölz-Wolfratshausen,Bayern
51,28,LK Bamberg,Bayern
52,10,LK Bayreuth,Bayern
53,26,LK Berchtesgadener Land,Bayern
54,13,LK Cham,Bayern
55,10,LK Coburg,Bayern
56,15,LK Dachau,Bayern
57,43,LK Deggendorf,Bayern
58,9,LK Dillingen a.d.Donau,Bayern
59,13,LK Dingolfing-Landau,Bayern
60,10,LK Ebersberg,Bayern
61,10,LK Eichstätt,Bayern
62,6,LK Erding,Bayern
63,11,LK Erlangen-Höchstadt,Bayern
64,12,LK Forchheim,Bayern
65,6,LK Freising,Bayern
66,14,LK Freyung-Grafenau,Bayern
67,-7,LK Fürstenfeldbruck,Bayern
68,37,LK Fürth,Bayern
69,8,LK Garmisch-Partenkirchen,Bayern
70,52,LK Günzburg,Bayern
71,14,LK Haßberge,Bayern
72,15,LK Hof,Bayern
73,10,LK Kelheim,Bayern
74,14,LK Kitzingen,Bayern
75,16,LK Kronach,Bayern
76,6,LK Kulmbach,Bayern
77,5,LK Landsberg a.Lech,Bayern
78,21,LK Landshut,Bayern
79,17,LK Lichtenfels,Bayern
80,4,LK Lindau,Bayern
81,17,LK Main-Spessart,Bayern
82,24,LK Miesbach,Bayern
83,11,LK Miltenberg,Bayern
84,5,LK Mühldorf a.Inn,Bayern
85,24,LK München,Bayern
86,7,LK Neuburg-Schrobenhausen,Bayern
87,21,LK Neumarkt i.d.OPf.,Bayern
88,10,LK Neustadt a.d.Aisch-Bad Windsheim,Bayern
89,10,LK Neustadt a.d.Waldnaab,Bayern
90,22,LK Neu-Ulm,Bayern
91,22,LK Nürnberger Land,Bayern
92,26,LK Oberallgäu,Bayern
93,35,LK Ostallgäu,Bayern
94,19,LK Passau,Bayern
95,15,LK Pfaffenhofen a.d.Ilm,Bayern
96,5,LK Regen,Bayern
97,40,LK Regensburg,Bayern
98,8,LK Rhön-Grabfeld,Bayern
99,27,LK Rosenheim,Bayern
100,6,LK Roth,Bayern
101,21,LK Rottal-Inn,Bayern
